iter	Passed	Remaining
834	69487	13731
835	69565	13646
836	69643	13562
837	69721	13478
838	69800	13394
839	69880	13310
840	69953	13225
841	70039	13142
842	70113	13058
843	70192	12974
844	70258	12887
845	70336	12803
846	70409	12718
847	70479	12633
848	70556	12548
849	70629	12464
850	70704	12379
851	70795	12297
852	70880	12215
853	70949	12129
854	71024	12045
855	71104	11961
856	71182	11877
857	71253	11792
858	71329	11708
859	71421	11626
860	71494	11542
861	71568	11457
862	71657	11375
863	71737	11291
864	71816	11208
865	71905	11126
866	71995	11044
867	72073	10960
868	72157	10877
869	72248	10795
870	72332	10712
871	72414	10629
872	72507	10548
873	72591	10465
874	72666	10380
875	72743	10297
876	72822	10213
877	72891	10128
878	72964	10044
879	73041	9960
880	73115	9876
881	73197	9792
882	73265	9707
883	73338	9623
884	73411	9539
885	73485	9455
886	73560	9371
887	73638	9287
888	73713	9203
889	73795	9120
890	73875	9037
891	73944	8952
892	74013	8868
893	74083	8783
894	74158	8700
895	74235	8616
896	74319	8533
897	74397	8450
898	74477	8367
899	74550	8283
900	74625	8199
901	74713	8117
902	74796	8034
903	74880	7951
904	74968	7869
905	75048	7786
906	75120	7702
907	75194	7618
908	75275	7535
909	75350	7452
910	75425	7368
911	75502	7285
912	75577	7201
913	75643	7117
914	75718	7033
915	75799	6951
916	75875	6867
917	75945	6783
918	76017	6700
919	76113	6618
920	76198	6536
921	76271	6452
922	76351	6369
923	76423	6285
924	76496	6202
925	76568	6118
926	76645	6035
927	76725	5952
928	76809	5870
929	76889	5787
930	76958	5703
931	77031	5620
932	77099	5536
933	77177	5453
934	77251	5370
935	77329	5287
936	77413	5204
937	77500	5122
938	77572	5039
939	77652	4956
940	77730	4873
941	77813	4791
942	77896	4708
943	77985	4626
944	78058	4543
945	78146	4460
946	78235	4378
947	78313	4295
948	78387	4212
949	78460	4129
950	78539	4046
951	78614	3963
952	78684	3880
953	78758	3797
954	78841	3715
955	78922	3632
956	79008	3550
957	79113	3468
958	79202	3386
959	79289	3303
960	79400	3222
961	79483	3139
962	79561	3056
963	79648	2974
964	79739	2892
965	79824	2809
966	79916	2727
967	80017	2645
968	80201	2565
969	80286	2483
970	80382	2400
971	80482	2318
972	80562	2235
973	80649	2152
974	80730	2070
975	80810	1987
976	80904	1904
977	81024	1822
978	81123	1740
979	81214	1657
980	81320	1575
981	81414	1492
982	81498	1409
983	81615	1327
984	81707	1244
985	81794	1161
986	81877	1078
987	81952	995
